Product ID,Period,Variable,Value
21A,Q2 95,x,0.0
21A,Q2 95,W,0.0
21A,Q2 95,I,0.0
21A,Q2 95,S,0.0
21A,Q2 95,E,0.0
21A,Q2 95,SSV,0.0
21A,Q3 95,x,3380628000.0
21A,Q3 95,W,0.0
21A,Q3 95,I,0.0
21A,Q3 95,S,540237430.0
21A,Q3 95,E,0.0
21A,Q3 95,SSV,0.0
21A,Q4 95,x,4857090500.0
21A,Q4 95,W,51397.783
21A,Q4 95,I,0.0
21A,Q4 95,S,0.0
21A,Q4 95,E,0.0
21A,Q4 95,SSV,0.0
21A,Q1 96,x,3895110200.0
21A,Q1 96,W,41218.098
21A,Q1 96,I,0.0
21A,Q1 96,S,0.0
21A,Q1 96,E,0.0
21A,Q1 96,SSV,0.0
21A,Q2 96,x,3422192800.0
21A,Q2 96,W,0.0
21A,Q2 96,I,0.0
21A,Q2 96,S,0.0
21A,Q2 96,E,0.0
21A,Q2 96,SSV,0.0
21A,Q3 96,x,7028084700.0
21A,Q3 96,W,74371.266
21A,Q3 96,I,0.0
21A,Q3 96,S,0.0
21A,Q3 96,E,0.0
21A,Q3 96,SSV,0.0
21A,Q4 96,x,2849951500.0
21A,Q4 96,W,0.0
21A,Q4 96,I,0.0
21A,Q4 96,S,0.0
21A,Q4 96,E,0.0
21A,Q4 96,SSV,0.0
21A,Q1 97,x,944509750.0
21A,Q1 97,W,0.0
21A,Q1 97,I,0.0
21A,Q1 97,S,0.0
21A,Q1 97,E,0.0
21A,Q1 97,SSV,0.0
21A,Q2 97,x,1485694300.0
21A,Q2 97,W,0.0
21A,Q2 97,I,0.0
21A,Q2 97,S,0.0
21A,Q2 97,E,0.0
21A,Q2 97,SSV,0.0
21A,Q3 97,x,1470743600.0
21A,Q3 97,W,0.0
21A,Q3 97,I,0.0
21A,Q3 97,S,0.0
21A,Q3 97,E,0.0
21A,Q3 97,SSV,0.0
21A,Q4 97,x,3022301900.0
21A,Q4 97,W,0.0
21A,Q4 97,I,0.0
21A,Q4 97,S,0.0
21A,Q4 97,E,0.0
21A,Q4 97,SSV,0.0
21A,Q1 98,x,2314112400.0
21A,Q1 98,W,0.0
21A,Q1 98,I,0.0
21A,Q1 98,S,0.0
21A,Q1 98,E,0.0
21A,Q1 98,SSV,0.0
21A,Q2 98,x,2151412700.0
21A,Q2 98,W,0.0
21A,Q2 98,I,0.0
21A,Q2 98,S,0.0
21A,Q2 98,E,0.0
21A,Q2 98,SSV,0.0
21A,Q3 98,x,1963712400.0
21A,Q3 98,W,0.0
21A,Q3 98,I,0.0
21A,Q3 98,S,0.0
21A,Q3 98,E,0.0
21A,Q3 98,SSV,0.0
21A,Q4 98,x,1920989700.0
21A,Q4 98,W,0.0
21A,Q4 98,I,0.0
21A,Q4 98,S,0.0
21A,Q4 98,E,0.0
21A,Q4 98,SSV,0.0
21A,Q1 99,x,2884271000.0
21A,Q1 99,W,0.0
21A,Q1 99,I,140000000.0
21A,Q1 99,S,0.0
21A,Q1 99,E,-66875815.0
21A,Q1 99,SSV,0.0
21A,Q2 99,x,0.0
21A,Q2 99,W,0.0
21A,Q2 99,I,0.0
21A,Q2 99,S,1337684400.0
21A,Q2 99,E,0.0
21A,Q2 99,SSV,0.0
21A,Q3 99,x,0.0
21A,Q3 99,W,0.0
21A,Q3 99,I,0.0
21A,Q3 99,S,4483691000.0
21A,Q3 99,E,0.0
21A,Q3 99,SSV,0.0
21A,Q4 99,x,0.0
21A,Q4 99,W,0.0
21A,Q4 99,I,0.0
21A,Q4 99,S,6942866300.0
21A,Q4 99,E,0.0
21A,Q4 99,SSV,0.0
21A,Q1 00,x,0.0
21A,Q1 00,W,0.0
21A,Q1 00,I,0.0
21A,Q1 00,S,3513860000.0
21A,Q1 00,E,0.0
21A,Q1 00,SSV,0.0
21A,Q2 00,x,2611491700.0
21A,Q2 00,W,0.0
21A,Q2 00,I,0.0
21A,Q2 00,S,0.0
21A,Q2 00,E,0.0
21A,Q2 00,SSV,0.0
21A,Q3 00,x,1540401900.0
21A,Q3 00,W,0.0
21A,Q3 00,I,0.0
21A,Q3 00,S,0.0
21A,Q3 00,E,0.0
21A,Q3 00,SSV,0.0
21A,Q4 00,x,3641157700.0
21A,Q4 00,W,38530.769
21A,Q4 00,I,0.0
21A,Q4 00,S,0.0
21A,Q4 00,E,0.0
21A,Q4 00,SSV,0.0
21A,Q1 01,x,2129799800.0
21A,Q1 01,W,0.0
21A,Q1 01,I,0.0
21A,Q1 01,S,0.0
21A,Q1 01,E,0.0
21A,Q1 01,SSV,0.0
21A,Q2 01,x,3999137000.0
21A,Q2 01,W,42318.91
